route_id,stop_id,day_of_week,time_of_day,weather,passenger_count
A,1,Sunday,8-10,not_rain,8
A,2,Sunday,18-20,not_rain,13
A,3,Sunday,20-22,not_rain,15
A,4,Sunday,12-14,not_rain,24
A,5,Sunday,18-20,not_rain,27
A,6,Sunday,12-14,rain,25
A,7,Sunday,10-12,not_rain,28
A,8,Sunday,20-22,not_rain,2
B,1,Sunday,14-16,not_rain,5
B,2,Sunday,16-18,not_rain,16
B,3,Sunday,20-22,not_rain,21
B,4,Sunday,12-14,not_rain,22
B,5,Sunday,10-12,not_rain,28
B,6,Sunday,8-10,not_rain,37
B,7,Sunday,8-10,not_rain,46
B,8,Sunday,20-22,not_rain,48
B,9,Sunday,10-12,not_rain,52
B,10,Sunday,10-12,not_rain,3
A,1,Sunday,18-20,not_rain,6
A,2,Sunday,8-10,not_rain,18
A,3,Sunday,10-12,not_rain,25
A,4,Sunday,20-22,not_rain,25
A,5,Sunday,18-20,not_rain,33
A,6,Sunday,14-16,rain,35
A,7,Sunday,10-12,not_rain,38
A,8,Sunday,20-22,not_rain,7
B,1,Sunday,20-22,not_rain,9
B,2,Sunday,8-10,not_rain,18
B,3,Sunday,18-20,rain,24
B,4,Sunday,8-10,not_rain,29
B,5,Sunday,10-12,not_rain,33
B,6,Sunday,14-16,not_rain,39
B,7,Sunday,18-20,not_rain,41
B,8,Sunday,6-8,not_rain,45
B,9,Sunday,12-14,rain,52
B,10,Sunday,6-8,rain,2
A,1,Sunday,6-8,not_rain,3
A,2,Sunday,14-16,not_rain,8
A,3,Sunday,10-12,not_rain,8
A,4,Sunday,16-18,rain,26
A,5,Sunday,10-12,not_rain,30
A,6,Sunday,20-22,not_rain,34
A,7,Sunday,18-20,rain,36
A,8,Sunday,12-14,not_rain,7
B,1,Sunday,20-22,rain,6
B,2,Sunday,18-20,not_rain,14
B,3,Sunday,6-8,not_rain,16
B,4,Sunday,16-18,not_rain,26
B,5,Sunday,18-20,rain,26
B,6,Sunday,12-14,not_rain,32
B,7,Sunday,18-20,not_rain,40
B,8,Sunday,10-12,rain,41
B,9,Sunday,16-18,not_rain,40
B,10,Sunday,8-10,not_rain,7
A,1,Sunday,6-8,not_rain,6
A,2,Sunday,6-8,not_rain,14
A,3,Sunday,6-8,not_rain,16
A,4,Sunday,16-18,not_rain,29
A,5,Sunday,6-8,not_rain,36
A,6,Sunday,16-18,not_rain,42
A,7,Sunday,12-14,not_rain,46
A,8,Sunday,12-14,not_rain,4
B,1,Sunday,20-22,not_rain,12
B,2,Sunday,20-22,rain,16
B,3,Sunday,14-16,rain,24
B,4,Sunday,8-10,not_rain,33
B,5,Sunday,14-16,not_rain,32
B,6,Sunday,20-22,rain,40
B,7,Sunday,6-8,not_rain,40
B,8,Sunday,16-18,not_rain,46
B,9,Sunday,6-8,not_rain,53
B,10,Sunday,8-10,not_rain,8
A,1,Sunday,6-8,not_rain,7
A,2,Sunday,12-14,not_rain,14
A,3,Sunday,18-20,rain,20
A,4,Sunday,12-14,rain,25
A,5,Sunday,14-16,rain,25
A,6,Sunday,10-12,not_rain,31
A,7,Sunday,12-14,not_rain,29
A,8,Sunday,14-16,not_rain,2
B,1,Sunday,14-16,not_rain,11
B,2,Sunday,8-10,rain,30
B,3,Sunday,14-16,not_rain,39
B,4,Sunday,14-16,not_rain,47
B,5,Sunday,20-22,not_rain,54
B,6,Sunday,10-12,not_rain,57
B,7,Sunday,20-22,not_rain,62
B,8,Sunday,6-8,not_rain,62
B,9,Sunday,18-20,rain,63
B,10,Sunday,12-14,not_rain,0
A,1,Sunday,14-16,rain,14
A,2,Sunday,8-10,rain,30
A,3,Sunday,8-10,rain,37
A,4,Sunday,16-18,not_rain,51
A,5,Sunday,14-16,not_rain,58
A,6,Sunday,20-22,not_rain,64
A,7,Sunday,12-14,not_rain,64
A,8,Sunday,10-12,not_rain,5
B,1,Sunday,12-14,not_rain,7
B,2,Sunday,16-18,not_rain,19
B,3,Sunday,12-14,not_rain,24
B,4,Sunday,18-20,not_rain,30
B,5,Sunday,6-8,rain,34
B,6,Sunday,18-20,not_rain,36
B,7,Sunday,6-8,not_rain,39
B,8,Sunday,10-12,rain,38
B,9,Sunday,16-18,not_rain,42
B,10,Sunday,10-12,not_rain,3
A,1,Sunday,8-10,not_rain,9
A,2,Sunday,6-8,not_rain,17
A,3,Sunday,14-16,not_rain,22
A,4,Sunday,8-10,not_rain,31
A,5,Sunday,8-10,not_rain,44
A,6,Sunday,16-18,not_rain,48
A,7,Sunday,18-20,rain,53
A,8,Sunday,20-22,not_rain,2
B,1,Sunday,12-14,not_rain,6
B,2,Sunday,18-20,not_rain,16
B,3,Sunday,16-18,not_rain,29
B,4,Sunday,14-16,not_rain,30
B,5,Sunday,6-8,not_rain,30
B,6,Sunday,16-18,not_rain,33
B,7,Sunday,20-22,not_rain,35
B,8,Sunday,16-18,not_rain,43
B,9,Sunday,18-20,not_rain,44
B,10,Sunday,12-14,not_rain,4
A,1,Sunday,16-18,rain,16
A,2,Sunday,6-8,rain,22
A,3,Sunday,10-12,not_rain,26
A,4,Sunday,12-14,not_rain,35
A,5,Sunday,18-20,not_rain,42
A,6,Sunday,18-20,not_rain,49
A,7,Sunday,18-20,not_rain,52
A,8,Sunday,6-8,rain,4
B,1,Sunday,8-10,rain,21
B,2,Sunday,12-14,not_rain,32
B,3,Sunday,18-20,not_rain,41
B,4,Sunday,10-12,not_rain,46
B,5,Sunday,8-10,rain,59
B,6,Sunday,6-8,not_rain,63
B,7,Sunday,6-8,not_rain,64
B,8,Sunday,6-8,rain,64
B,9,Sunday,6-8,not_rain,69
B,10,Sunday,6-8,not_rain,1
A,1,Sunday,10-12,not_rain,4
A,2,Sunday,12-14,not_rain,11
A,3,Sunday,10-12,rain,18
A,4,Sunday,20-22,not_rain,20
A,5,Sunday,8-10,not_rain,32
A,6,Sunday,6-8,not_rain,37
A,7,Sunday,8-10,not_rain,38
A,8,Sunday,10-12,not_rain,3
B,1,Sunday,16-18,not_rain,8
B,2,Sunday,16-18,not_rain,21
B,3,Sunday,12-14,not_rain,21
B,4,Sunday,10-12,not_rain,23
B,5,Sunday,16-18,not_rain,29
B,6,Sunday,6-8,not_rain,34
B,7,Sunday,18-20,not_rain,35
B,8,Sunday,16-18,not_rain,43
B,9,Sunday,8-10,not_rain,50
B,10,Sunday,6-8,rain,0
A,1,Sunday,20-22,not_rain,6
A,2,Sunday,18-20,not_rain,9
A,3,Sunday,10-12,rain,13
A,4,Sunday,16-18,not_rain,22
A,5,Sunday,16-18,rain,33
A,6,Sunday,12-14,rain,36
A,7,Sunday,8-10,rain,42
A,8,Sunday,16-18,not_rain,9
B,1,Sunday,8-10,not_rain,11
B,2,Sunday,16-18,rain,26
B,3,Sunday,6-8,not_rain,30
B,4,Sunday,20-22,not_rain,34
B,5,Sunday,6-8,not_rain,38
B,6,Sunday,20-22,not_rain,43
B,7,Sunday,18-20,rain,49
B,8,Sunday,12-14,not_rain,48
B,9,Sunday,12-14,rain,46
B,10,Sunday,6-8,not_rain,6
A,1,Sunday,18-20,rain,13
A,2,Sunday,14-16,not_rain,20
A,3,Sunday,8-10,not_rain,31
A,4,Sunday,8-10,not_rain,36
A,5,Sunday,18-20,not_rain,36
A,6,Sunday,16-18,rain,40
A,7,Sunday,6-8,not_rain,43
A,8,Sunday,16-18,not_rain,4
B,1,Sunday,16-18,not_rain,13
B,2,Sunday,6-8,not_rain,21
B,3,Sunday,16-18,not_rain,32
B,4,Sunday,6-8,not_rain,36
B,5,Sunday,20-22,not_rain,44
B,6,Sunday,16-18,rain,53
B,7,Sunday,8-10,not_rain,61
B,8,Sunday,16-18,not_rain,70
B,9,Sunday,20-22,not_rain,72
B,10,Sunday,8-10,not_rain,2
A,1,Sunday,12-14,not_rain,11
A,2,Sunday,14-16,not_rain,14
A,3,Sunday,18-20,not_rain,19
A,4,Sunday,8-10,not_rain,23
A,5,Sunday,20-22,rain,28
A,6,Sunday,16-18,not_rain,36
A,7,Sunday,8-10,not_rain,42
A,8,Sunday,18-20,not_rain,3
B,1,Sunday,14-16,not_rain,7
B,2,Sunday,14-16,not_rain,16
B,3,Sunday,6-8,not_rain,24
B,4,Sunday,6-8,not_rain,30
B,5,Sunday,8-10,not_rain,41
B,6,Sunday,8-10,not_rain,48
B,7,Sunday,12-14,not_rain,53
B,8,Sunday,16-18,not_rain,55
B,9,Sunday,16-18,not_rain,52
B,10,Sunday,14-16,not_rain,1
A,1,Sunday,10-12,not_rain,5
A,2,Sunday,12-14,rain,11
A,3,Sunday,12-14,not_rain,16
A,4,Sunday,10-12,not_rain,23
A,5,Sunday,14-16,not_rain,24
A,6,Sunday,6-8,rain,30
A,7,Sunday,20-22,not_rain,36
A,8,Sunday,18-20,not_rain,2
B,1,Sunday,12-14,not_rain,3
B,2,Sunday,12-14,rain,9
B,3,Sunday,6-8,rain,16
B,4,Sunday,12-14,not_rain,21
B,5,Sunday,6-8,not_rain,26
B,6,Sunday,10-12,rain,35
B,7,Sunday,6-8,rain,38
